author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
[英] 威廉·萨默塞特·毛姆 / 于大卫,https://book.douban.com/subject/26757680/,9787210082835, 288,39.8元,2016-4-1,江西人民出版社,None,9.0,51859人,,面纱
[意] 埃莱娜·费兰特 / 陈英,https://book.douban.com/subject/26878124/,9787020120130, 330,42.00元,2017-1,人民文学出版社,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,8.8,137182人,,我的天才女友
[印] 罗宾德拉纳德·泰戈尔,https://book.douban.com/subject/1058661/,9787806992197, 186,16.80元,2004-6,哈尔滨出版社,一个淡泊清透的世界,8.9,70128人,,飞鸟集
(德)叔本华 / 韦启昌,https://book.douban.com/subject/3261600/,9787208081178, ,28.00元,2008-10-01,上海人民出版社,对世俗、实用问题深刻而透彻的讨论,9.2,35694人,,人生的智慧
海子,https://book.douban.com/subject/1011754/,9787020026456, 292,15.40,1999-04,人民文学出版社,None,9.0,49721人,,海子的诗
[英] 肯·福莱特 / 于大卫,https://book.douban.com/subject/26698660/,9787539989891, 1168,CNY 129.80,2016-5-1,江苏凤凰文艺出版社,五个家族，一场战争,8.9,88828人,,巨人的陨落
[英] 毛姆,https://book.douban.com/subject/2035171/,9787532741731, 672,32.00元,2007-3,上海译文出版社,在混沌纷扰的生活漩流中，寻求人生的真谛,9.1,33633人,,人生的枷锁
[葡] 若泽·萨拉马戈 / 范维信,https://book.douban.com/subject/20428302/,9787544264112, 281,29.50元,2014-2,南海出版公司,失明症迅速蔓延，整个城市陷入一场空前的灾难,9.0,44234人,,失明症漫记
老舍,https://book.douban.com/subject/1036613/,9787020036509, 142,9.80元,2002-1,人民文学出版社,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,9.2,39563人,,茶馆
[奥] 斯特凡·茨威格 / 徐友敬,https://book.douban.com/subject/27615361/,9787532777150, 446,49.00元,2018-7,上海译文出版社,None,9.3,21885人,,昨日的世界
杨绛,https://book.douban.com/subject/1023045/,9787108018809, 165,18.80元,2003-7,生活·读书·新知三联书店,None,8.8,323409人,,我们仨
[意] 伊塔洛·卡尔维诺 / 张密,https://book.douban.com/subject/10555509/,9787544722278, 182,25.00元,2012-4,译林出版社,None,9.0,42378人,,看不见的城市
汪曾祺,https://book.douban.com/subject/1760432/,9787540701758, 573,3.95元,1987-10,漓江出版社,江南乡镇民间生活，健康淳朴的人性,9.3,30587人,,受戒
李银河,https://book.douban.com/subject/3071717/,9787806859988, 222,18.00元,2008-5,上海锦绣文章出版社,王小波与李银河的两地书,8.8,120191人,,爱你就像爱生命
吴军,https://book.douban.com/subject/6709783/,9787121139512, 584,55.00元,2011-8,电子工业出版社,了解IT领域的入门读物,9.0,35076人,,浪潮之巅
陈凯歌,https://book.douban.com/subject/1091203/,9787020034109, 189,10.00元,2001-6,人民文学出版社,None,9.3,22380人,,少年凯歌
[美] 罗伯特·麦基 / 周铁东,https://book.douban.com/subject/25976544/,9787201088334, 521,68.00元,2014-9,天津人民出版社,材质、结构、风格和银幕剧作的原理,9.2,21883人,,故事
王小波,https://book.douban.com/subject/3518332/,9787538725230, 322,30.00元,2009-1,时代文艺出版社,我们好象在池塘的水底，从一个月亮走向另一个月亮,9.1,27470人,,绿毛水怪
吴念真,https://book.douban.com/subject/6388661/,9787544717731, 203,28.00元,2011-9,译林出版社,平淡叙述下的惊心动魄,8.8,70022人,,这些人，那些事
[英] 石黑一雄 / 冯涛,https://book.douban.com/subject/30142261/,9787532777532, 337,48,2018-5,上海译文出版社,None,8.9,44781人,,长日将尽
[日] 伊坂幸太郎 / 李彦桦,https://book.douban.com/subject/5038409/,9787544713986, 432,35.00元,2010-9,译林出版社,伊坂幸太郎代表作,9.0,34071人,,金色梦乡
[俄罗斯] 列夫·托尔斯泰,https://book.douban.com/subject/2253380/,9787532132256, 788,37.00元,2007-8,上海文艺出版社,None,9.2,36023人,,安娜·卡列尼娜
[英] 王尔德,https://book.douban.com/subject/1119839/,9787805676104, 129,6.00元,2003-6,译林出版社,一颗纯美纯善、永难泯灭的童心,9.1,25780人,,王尔德童话
刘震云,https://book.douban.com/subject/3633461/,9787535439765, 362,29.80,2009-3,长江文艺出版社,一句胜过千年,8.8,101151人,,一句顶一万句
[英] 阿瑟·克拉克 / 郝明义,https://book.douban.com/subject/30471298/,9787532170692, 275,62.00元,2019-4-10,上海文艺出版社,None,9.3,26291人,,2001：太空漫游
[阿根廷] 豪·路·博尔赫斯 / 王永年,https://book.douban.com/subject/25796120/,9787532762897, 102,23.00,2015-7,上海译文出版社,一个谜语，谜底正是时间,8.9,55313人,,小径分岔的花园
[英] 史蒂芬·霍金,https://book.douban.com/subject/1034282/,9787535732309, 245,45.00元,2010-4,湖南科学技术出版社,探索时间和空间的核心秘密,8.9,65393人,,时间简史
[日] 冈岛二人 / 张舟,https://book.douban.com/subject/33658616/,9787122346032, 299,48.00元,2019-9,化学工业出版社,None,8.8,86002人,,克莱因壶
少年儿童出版社,https://book.douban.com/subject/2160556/,13024-22, 14册,None,1962-12,少年儿童出版社,None,9.2,22321人,,十万个为什么
迟子建,https://book.douban.com/subject/34432750/,9787020139590, 266,32.00元,2019-6-1,人民文学出版社,None,8.9,74799人,,额尔古纳河右岸
三毛,https://book.douban.com/subject/2070844/,9787530208922, 312,28.00元,2007-6,北京十月文艺出版社,哀而不伤,8.8,101772人,,梦里花落知多少
沈从文 / 黄永玉 卓雅 插图.,https://book.douban.com/subject/1057244/,9787537823425, 174,12.00元,2002-4,北岳文艺出版社,一切充满了善，然而到处是不凑巧,8.7,241918人,,边城
张爱玲,https://book.douban.com/subject/10757940/,9787530211168, 326,29.80元,2012-6-1,北京十月文艺出版社,None,8.9,45070人,,倾城之恋
都梁,https://book.douban.com/subject/1088022/,9787503311864, 570,28.00元,2005-3,解放军文艺出版社,面对强大的对手，明知不敌，也要毅然亮剑,9.0,34030人,,亮剑
